CODIGO	FECHA	VALOR	UNIDAD_MEDIDA
CCR_IDB .DESCARGA TOTAL-IPU .AV	02/06/1984 00:00:00	219,4	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	03/06/1984 00:00:00	219,41	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	04/06/1984 00:00:00	219,52	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	05/06/1984 00:00:00	219,58	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	06/06/1984 00:00:00	219,6	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	07/06/1984 00:00:00	219,54	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	08/06/1984 00:00:00	219,54	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	09/06/1984 00:00:00	219,55	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	10/06/1984 00:00:00	219,56	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	11/06/1984 00:00:00	219,58	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	12/06/1984 00:00:00	219,58	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	13/06/1984 00:00:00	219,65	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	14/06/1984 00:00:00	219,64	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	15/06/1984 00:00:00	219,65	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	16/06/1984 00:00:00	219,65	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	17/06/1984 00:00:00	219,64	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	18/06/1984 00:00:00	219,65	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	19/06/1984 00:00:00	219,7	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	20/06/1984 00:00:00	219,67	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	21/06/1984 00:00:00	219,62	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	22/06/1984 00:00:00	219,55	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	23/06/1984 00:00:00	219,5	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	24/06/1984 00:00:00	219,52	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	25/06/1984 00:00:00	219,55	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	26/06/1984 00:00:00	219,55	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	27/06/1984 00:00:00	219,49	msnm
